X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.0767260001708,42.3717000003046,647592,door-lech-firstracks,,"Lechmere - Busway, North First St","Lechmere - Busway, North First St",,,42.3717,-71.076726,,,,level_ground,2,place-lech,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0756810002877,42.3708439995924,647593,door-lech-obrien,,Lechmere - O'Brien Hwy,Lechmere - O'Brien Hwy,,,42.370844,-71.075681,,,,level_ground,2,place-lech,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0998829996846,42.336080000056,647595,70247,70247,Longwood Medical Area,Longwood Medical Area - Green Line - (E) Heath Street,,Heath Street,42.33608,-71.099883,RapidTransit,,https://www.mbta.com/stops/place-lngmd,level_median,0,place-lngmd,1,Boston,,,0,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0993280001161,42.3362170003614,647596,70248,70248,Longwood Medical Area,Longwood Medical Area - Green Line - Park Street & North,,Park Street & North,42.336217,-71.099328,RapidTransit,,https://www.mbta.com/stops/place-lngmd,level_median,0,place-lngmd,1,Boston,,,0,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1097770002422,42.3418080001006,647598,70182,70182,Longwood,Longwood - Green Line - Park Street & North,,Park Street & North,42.341808,-71.109777,RapidTransit,,https://www.mbta.com/stops/place-longw,level_ground,0,place-longw,1,Brookline,,,0,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1101469996422,42.3415710003334,647599,70183,70183,Longwood,Longwood - Green Line - (D) Riverside,,Riverside,42.341571,-71.110147,RapidTransit,,https://www.mbta.com/stops/place-longw,level_ground,0,place-longw,1,Brookline,,,0,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.109877000322,42.3418900003889,647600,door-longw-colchester,,"Longwood - Chapel St, Colchester St","Longwood - Chapel St, Colchester St",,,42.34189,-71.109877,,,,level_in_street,2,place-longw,2,Brookline,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1102979998339,42.3415419997834,647601,door-longw-longwood,,"Longwood - Chapel St, Longwood Ave","Longwood - Chapel St, Longwood Ave",,,42.341542,-71.110298,,,,level_in_street,2,place-longw,1,Brookline,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1096100002791,42.3417470002229,647602,door-longw-neckramp,,Longwood - Emerald Necklace (Ramp),Longwood - Emerald Necklace (Ramp),,,42.341747,-71.10961,,,,level_ground,2,place-longw,1,Brookline,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1100090003468,42.3413939995679,647603,door-longw-neckstairs,,Longwood - Emerald Necklace (Stairs),Longwood - Emerald Necklace (Stairs),,,42.341394,-71.110009,,,,level_ground,2,place-longw,2,Brookline,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
